timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
03/04/2018 15:51,694,Get Partner Token,200,OK,Get Auth 1-1,text,true,,1234,301,1,1,694,0,262
03/04/2018 15:51,246,Get Partner2 Token,200,OK,Get Auth 1-1,text,true,,1223,300,1,1,246,0,0
03/04/2018 15:51,254,Get Marketing Token,200,OK,Get Auth 1-1,text,true,,1220,296,1,1,254,0,0
03/04/2018 15:51,225,Get Payments Token,200,OK,Get Auth 1-1,text,true,,1212,288,1,1,225,0,0
03/04/2018 15:51,0,Debug Sampler,200,OK,Get Auth 1-1,text,true,,4669,0,1,1,0,0,0
03/04/2018 15:51,3706,PA-5-5 ValidRequest,200,OK,[PA-5] Quote (1) 2-1,text,true,,835,1148,1,1,3706,0,274
03/04/2018 15:51,1092,PA-8-1 [Recipient requirements endpoint] Validate response message [valid receiveCountryCode && payoutMethodCode],200,OK,[PA-8] Recipient requirements (1) 3-1,text,true,,5302,1128,1,1,1092,0,210
03/04/2018 15:51,3817,PA-40-1 [Create sender] Validate response header (valid request) ,201,Created,PA-40 Create sender (1) 4-1,,true,,578,1698,1,1,3817,0,208
03/04/2018 15:51,2561,PA-74-1 [Get sender] Validate response code - valid request  ,200,OK,[PA-74] Get sender (1) 5-1,text,true,,1575,1060,1,1,2561,0,189
03/04/2018 15:51,2574,PA-41-15 Validate response header (valid request),201,Created,[PA-41] Create Recipient (1) 6-1,,true,,593,1877,1,1,2574,0,189
03/04/2018 15:52,1226,PA-71-1 Validate the response message (valid request),200,OK,[PA-71] Get recipient (1) 7-1,text,true,,1443,1012,1,1,1226,0,213
03/04/2018 15:52,918,PA-54-2 ValidRequest,200,OK,[PA-54] Send Contries (1) 11-1,text,true,,3199,1058,1,1,918,0,211
03/04/2018 15:52,1446,PA-55-2 ValidRequest,200,OK,[PA-55] Receive Contries (1) 12-1,text,true,,8004,1078,1,1,1446,0,203
03/04/2018 15:52,3541,PA-56-2 /v1/sendCountries/BE/receiveCountries/PH/payoutMethods,200,OK,[PA-56] Payout Methods (1) 13-1,text,true,,639,1095,1,1,3541,0,197
03/04/2018 15:52,1801,PA-57-4 /sendCountries/BE/receiveCountries/PH/payoutMethods/BNK/payoutnetworks,200,OK,[PA-57] Payout Networks (1) 14-1,text,true,,1550,1114,1,1,1801,0,199
03/04/2018 15:52,4386,PA-266-1 [Payin endpoint] Valid request - validate response code ,302,Found,[PA-266] Payin endpoint (1) 15-1,,true,,604,1269,1,1,4386,0,207
03/04/2018 15:52,1505,PA-495-1 Valid request - response message ,200,OK,[PA-495] Currencies (1) 16-1,text,true,,574,1111,1,1,1505,0,196
03/04/2018 15:52,860,PA-517-1 [Payin methods endpoint] Valid request - response code,200,OK,[PA-517] Payin methods endpoint (1) 17-1,text,true,,751,1079,1,1,860,0,219
