timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1500374924986,729,/api/countries,200,OK,Thread Group 1-3,text,true,,8009,211,7,7,729,0,465
1500374925110,609,/api/countries,200,OK,Thread Group 1-4,text,true,,8009,211,7,7,609,0,341
1500374924767,982,/api/countries,200,OK,Thread Group 1-2,text,true,,8009,211,7,7,982,0,684
1500374924651,1102,/api/countries,200,OK,Thread Group 1-1,text,true,,8009,211,7,7,1102,0,799
1500374925301,463,/api/countries,200,OK,Thread Group 1-5,text,true,,8009,211,7,7,463,0,199
1500374925443,371,/api/countries,200,OK,Thread Group 1-6,text,true,,8009,211,7,7,371,0,183
1500374925719,191,/api/my-country,200,OK,Thread Group 1-4,text,true,,489,212,8,8,191,0,0
1500374925717,194,/api/my-country,200,OK,Thread Group 1-3,text,true,,489,212,8,8,194,0,0
1500374925754,179,/api/my-country,200,OK,Thread Group 1-1,text,true,,489,212,8,8,179,0,0
1500374925764,173,/api/my-country,200,OK,Thread Group 1-5,text,true,,489,212,8,8,173,0,0
1500374925750,192,/api/my-country,200,OK,Thread Group 1-2,text,true,,489,212,8,8,192,0,0
1500374925814,204,/api/my-country,200,OK,Thread Group 1-6,text,true,,489,212,8,8,204,0,0
1500374925668,517,/api/countries,200,OK,Thread Group 1-7,text,true,,8009,211,9,9,517,0,187
1500374925815,584,/api/countries,200,OK,Thread Group 1-8,text,true,,8009,211,10,10,584,0,178
1500374926186,328,/api/my-country,200,OK,Thread Group 1-7,text,true,,489,212,11,11,328,0,0
1500374926049,470,/api/countries,200,OK,Thread Group 1-9,text,true,,8009,211,11,11,469,0,176
1500374926196,557,/api/countries,200,OK,Thread Group 1-10,text,true,,8009,211,13,13,557,0,178
1500374925939,1045,/api/account,201,Created,Thread Group 1-5,,true,,381,766,14,14,1045,0,0
1500374925922,1058,/api/account,201,Created,Thread Group 1-4,,true,,381,766,14,14,1058,0,0
1500374926985,58,OS Process Sampler,0,OK,Thread Group 1-4,text,true,,234,0,14,14,0,0,0
1500374926985,61,OS Process Sampler,0,OK,Thread Group 1-5,text,true,,234,0,14,14,0,0,0
1500374926021,1047,/api/account,201,Created,Thread Group 1-6,,true,,381,766,14,14,1047,0,0
1500374925924,1145,/api/account,201,Created,Thread Group 1-3,,true,,381,766,14,14,1145,0,0
1500374925944,1125,/api/account,201,Created,Thread Group 1-2,,true,,381,766,14,14,1125,0,0
1500374925935,1135,/api/account,201,Created,Thread Group 1-1,,true,,381,766,14,14,1135,0,0
1500374927070,64,OS Process Sampler,0,OK,Thread Group 1-1,text,true,,234,0,14,14,0,0,0
1500374926400,735,/api/my-country,200,OK,Thread Group 1-8,text,true,,489,212,14,14,735,0,0
1500374926519,616,/api/my-country,200,OK,Thread Group 1-9,text,true,,489,212,14,14,616,0,0
1500374926753,383,/api/my-country,200,OK,Thread Group 1-10,text,true,,489,212,14,14,383,0,0
1500374927070,71,OS Process Sampler,0,OK,Thread Group 1-2,text,true,,234,0,15,15,0,0,0
1500374927069,75,OS Process Sampler,0,OK,Thread Group 1-6,text,true,,234,0,15,15,0,0,0
1500374927069,81,OS Process Sampler,0,OK,Thread Group 1-3,text,true,,234,0,15,15,0,0,0
1500374926574,591,/api/countries,200,OK,Thread Group 1-12,text,true,,8009,211,15,15,591,0,180
1500374926417,749,/api/countries,200,OK,Thread Group 1-11,text,true,,8009,211,15,15,749,0,184
1500374926723,484,/api/countries,200,OK,Thread Group 1-13,text,true,,8009,211,15,15,484,0,177
1500374926870,572,/api/countries,200,OK,Thread Group 1-14,text,true,,8009,211,17,17,572,0,178
1500374927434,352,/api/countries,200,OK,Thread Group 1-17,text,true,,8009,211,19,19,352,0,178
1500374927208,760,/api/my-country,200,OK,Thread Group 1-13,text,true,,489,212,20,20,760,0,0
1500374927141,830,/api/countries,200,OK,Thread Group 1-15,text,true,,8009,211,20,20,830,0,200
1500374926517,1455,/api/account,201,Created,Thread Group 1-7,,true,,381,766,20,20,1455,0,0
1500374927443,534,/api/my-country,200,OK,Thread Group 1-14,text,true,,489,212,20,20,534,0,0
1500374927165,820,/api/my-country,200,OK,Thread Group 1-12,text,true,,489,212,20,20,820,0,0
1500374927166,826,/api/my-country,200,OK,Thread Group 1-11,text,true,,489,212,20,20,826,0,0
1500374927787,206,/api/my-country,200,OK,Thread Group 1-17,text,true,,489,212,20,20,206,0,0
1500374927612,386,/api/countries,200,OK,Thread Group 1-18,text,true,,8009,211,20,20,386,0,185
1500374927045,915,/api/profile,200,OK,Thread Group 1-4,text,true,,875,573,20,20,915,0,0
