timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1499151983192,6732,/api/countries,200,OK,Thread Group 1-14,text,true,,8009,211,20,20,6732,0,623
1499151983071,6855,/api/countries,200,OK,Thread Group 1-12,text,true,,8009,211,20,20,6855,0,757
1499151982389,7536,/api/countries,200,OK,Thread Group 1-4,text,true,,8009,211,20,20,7536,0,1427
1499151983931,5994,/api/countries,200,OK,Thread Group 1-18,text,true,,8009,211,20,20,5994,0,186
1499151982417,7512,/api/countries,200,OK,Thread Group 1-1,text,true,,8009,211,20,20,7512,0,1416
1499151983075,6854,/api/countries,200,OK,Thread Group 1-8,text,true,,8009,211,20,20,6854,0,741
1499151983513,6417,/api/countries,200,OK,Thread Group 1-16,text,true,,8009,211,20,20,6417,0,316
1499151983513,6417,/api/countries,200,OK,Thread Group 1-17,text,true,,8009,211,20,20,6417,0,320
1499151983072,6859,/api/countries,200,OK,Thread Group 1-10,text,true,,8009,211,20,20,6859,0,743
1499151982470,7462,/api/countries,200,OK,Thread Group 1-6,text,true,,8009,211,20,20,7462,0,1345
1499151983074,6856,/api/countries,200,OK,Thread Group 1-9,text,true,,8009,211,20,20,6856,0,742
1499151982538,7400,/api/countries,200,OK,Thread Group 1-7,text,true,,8009,211,20,20,7400,0,1277
1499151983145,6793,/api/countries,200,OK,Thread Group 1-13,text,true,,8009,211,20,20,6793,0,671
1499151984028,5912,/api/countries,200,OK,Thread Group 1-20,text,true,,8009,211,20,20,5912,0,181
1499151983506,6434,/api/countries,200,OK,Thread Group 1-15,text,true,,8009,211,20,20,6434,0,309
1499151982428,7515,/api/countries,200,OK,Thread Group 1-5,text,true,,8009,211,20,20,7515,0,1402
1499151983071,6872,/api/countries,200,OK,Thread Group 1-11,text,true,,8009,211,20,20,6872,0,744
1499151982416,7534,/api/countries,200,OK,Thread Group 1-3,text,true,,8009,211,20,20,7534,0,1418
1499151982425,7525,/api/countries,200,OK,Thread Group 1-2,text,true,,8009,211,20,20,7525,0,1408
1499151983976,5975,/api/countries,200,OK,Thread Group 1-19,text,true,,8009,211,20,20,5975,0,176
1499151989930,2680,/api/my-country,200,OK,Thread Group 1-8,text,true,,489,212,20,20,2680,0,67
1499151989928,2682,/api/my-country,200,OK,Thread Group 1-4,text,true,,489,212,20,20,2682,0,69
1499151989930,2685,/api/my-country,200,OK,Thread Group 1-16,text,true,,489,212,20,20,2685,0,74
1499151989926,2689,/api/my-country,200,OK,Thread Group 1-14,text,true,,489,212,20,20,2689,0,69
1499151989928,2898,/api/my-country,200,OK,Thread Group 1-18,text,true,,489,212,20,20,2898,0,67
1499151989951,2876,/api/my-country,200,OK,Thread Group 1-19,text,true,,489,212,20,20,2876,0,72
1499151989933,4900,/api/my-country,200,OK,Thread Group 1-6,text,true,,489,212,20,20,4900,0,71
1499151989940,4988,/api/my-country,200,OK,Thread Group 1-20,text,true,,489,212,20,20,4988,0,78
