timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1499156971538,2546,/api/profile,200,OK,Thread Group 1-5,text,true,,877,573,10,10,2546,0,266
1499156971635,2449,/api/profile,200,OK,Thread Group 1-6,text,true,,877,573,10,10,2449,0,183
1499156971839,2351,/api/profile,200,OK,Thread Group 1-8,text,true,,877,573,10,10,2351,0,182
1499156971340,2962,/api/profile,200,OK,Thread Group 1-3,text,true,,877,573,10,10,2961,0,471
1499156971438,2870,/api/profile,200,OK,Thread Group 1-4,text,true,,877,573,10,10,2870,0,366
1499156971243,3066,/api/profile,200,OK,Thread Group 1-2,text,true,,877,573,10,10,3066,0,565
1499156971192,3132,/api/profile,200,OK,Thread Group 1-1,text,true,,877,573,10,10,3132,0,612
1499156972043,2282,/api/profile,200,OK,Thread Group 1-10,text,true,,876,573,10,10,2282,0,181
1499156971951,2375,/api/profile,200,OK,Thread Group 1-9,text,true,,877,573,10,10,2375,0,180
1499156971736,2591,/api/profile,200,OK,Thread Group 1-7,text,true,,877,573,10,10,2591,0,180
1499156974088,655,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-6,,true,,351,601,10,10,0,0,70
1499156974090,654,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-5,,true,,351,601,10,10,0,0,69
1499156974309,931,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-4,,true,,351,601,10,10,0,0,68
1499156974302,938,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-3,,true,,351,601,10,10,0,0,69
1499156974309,1321,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-2,,true,,351,601,10,10,0,0,69
1499156974327,1377,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-7,,true,,351,601,10,10,0,0,72
1499156974327,1381,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-9,,true,,351,601,10,10,0,0,72
1499156974191,1574,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-8,,true,,351,601,10,10,0,0,68
1499156974326,1439,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-10,,true,,351,601,10,10,0,0,68
1499156974743,1310,/api/account,400,Bad Request,Thread Group 1-6,text,true,,994,1171,10,10,1309,0,68
1499156974324,1925,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-1,,true,,351,601,10,10,0,0,70
1499156974744,1511,/api/account,400,Bad Request,Thread Group 1-5,text,true,,994,1171,10,10,1510,0,67
1499156975241,1114,/api/account,400,Bad Request,Thread Group 1-4,text,true,,994,1171,10,10,1113,0,68
1499156975241,1528,/api/account,400,Bad Request,Thread Group 1-3,text,true,,994,1171,10,10,1528,0,68
1499156975630,1246,/api/account,400,Bad Request,Thread Group 1-2,text,true,,994,1171,10,10,1246,0,68
1499156975708,1516,/api/account,400,Bad Request,Thread Group 1-9,text,true,,994,1171,10,10,1516,0,68
1499156975704,1520,/api/account,400,Bad Request,Thread Group 1-7,text,true,,994,1171,10,10,1520,0,68
1499156975766,1458,/api/account,400,Bad Request,Thread Group 1-8,text,true,,994,1171,10,10,1458,0,70
1499156976055,1350,/api/transactions,204,No Content,Thread Group 1-6,,true,,351,578,10,10,0,0,70
1499156975766,1668,/api/account,400,Bad Request,Thread Group 1-10,text,true,,994,1170,10,10,1667,0,68
1499156976254,1444,/api/transactions,204,No Content,Thread Group 1-5,,true,,351,578,10,10,0,0,69
1499156976354,1344,/api/transactions,204,No Content,Thread Group 1-4,,true,,351,578,10,10,0,0,70
1499156976248,1523,/api/account,400,Bad Request,Thread Group 1-1,text,true,,994,1171,10,10,1523,0,68
1499156976769,1514,/api/transactions,204,No Content,Thread Group 1-3,,true,,351,578,10,10,0,0,68
1499156976876,1411,/api/transactions,204,No Content,Thread Group 1-2,,true,,351,578,10,10,0,0,68
1499156977223,1220,/api/transactions,204,No Content,Thread Group 1-7,,true,,351,578,10,10,0,0,69
1499156977223,1221,/api/transactions,204,No Content,Thread Group 1-8,,true,,351,578,10,10,0,0,69
1499156977223,1221,/api/transactions,204,No Content,Thread Group 1-9,,true,,351,578,10,10,0,0,70
1499156977404,1256,/api/recipients,204,No Content,Thread Group 1-6,,true,,355,576,10,10,0,0,68
1499156977433,1555,/api/transactions,204,No Content,Thread Group 1-10,,true,,351,578,10,10,0,0,68
1499156977771,1217,/api/transactions,204,No Content,Thread Group 1-1,,true,,351,578,10,10,0,0,68
1499156977699,1325,/api/recipients,204,No Content,Thread Group 1-4,,true,,355,576,10,10,0,0,68
1499156978283,1250,/api/recipients,204,No Content,Thread Group 1-3,,true,,355,576,10,10,0,0,68
1499156978444,1404,/api/recipients,204,No Content,Thread Group 1-7,,true,,355,576,10,10,0,0,70
1499156978288,1562,/api/recipients,204,No Content,Thread Group 1-2,,true,,355,576,10,10,0,0,69
1499156977698,2152,/api/recipients,204,No Content,Thread Group 1-5,,true,,355,576,10,10,0,0,69
1499156978444,1407,/api/recipients,204,No Content,Thread Group 1-8,,true,,355,576,10,10,0,0,69
1499156978445,1406,/api/recipients,204,No Content,Thread Group 1-9,,true,,355,576,10,10,0,0,70
1499156978988,1915,/api/recipients,204,No Content,Thread Group 1-10,,true,,355,576,10,10,0,0,69
1499156978988,2440,/api/recipients,204,No Content,Thread Group 1-1,,true,,355,576,10,10,0,0,70
1499156978661,4665,/api/country/BE,200,OK,Thread Group 1-6,text,true,,29329,576,10,10,4632,0,67
1499156979025,4320,/api/country/BE,200,OK,Thread Group 1-4,text,true,,29329,576,10,10,4287,0,74
1499156979534,4053,/api/country/BE,200,OK,Thread Group 1-3,text,true,,29329,576,10,10,4016,0,69
1499156979849,4098,/api/country/BE,200,OK,Thread Group 1-7,text,true,,29329,576,10,10,4065,0,68
1499156979850,4099,/api/country/BE,200,OK,Thread Group 1-2,text,true,,29329,576,10,10,4065,0,67
1499156979850,4100,/api/country/BE,200,OK,Thread Group 1-5,text,true,,29329,576,10,10,4067,0,67
1499156979852,4107,/api/country/BE,200,OK,Thread Group 1-9,text,true,,29329,576,10,10,4074,0,67
1499156983324,781,/api/recipients,200,OK,Thread Group 1-6,text,true,,18260,553,10,10,780,0,68
1499156983343,775,/api/recipients,200,OK,Thread Group 1-4,text,true,,18260,553,10,10,775,0,74
1499156983586,569,/api/recipients,200,OK,Thread Group 1-3,text,true,,18259,553,10,10,568,0,68
1499156979852,4442,/api/country/BE,200,OK,Thread Group 1-8,text,true,,29329,576,10,10,4403,0,68
1499156983946,520,/api/recipients,200,OK,Thread Group 1-7,text,true,,18278,553,10,10,520,0,69
1499156983948,529,/api/recipients,200,OK,Thread Group 1-5,text,true,,18278,553,10,10,528,0,67
1499156984105,381,/api/country/BE/correspondents/PH,200,OK,Thread Group 1-6,text,true,,3799,571,10,10,380,0,71
1499156984119,416,/api/country/BE/correspondents/PH,200,OK,Thread Group 1-4,text,true,,3799,571,10,10,416,0,69
1499156983948,603,/api/recipients,200,OK,Thread Group 1-2,text,true,,18277,553,10,10,603,0,69
1499156983957,624,/api/recipients,200,OK,Thread Group 1-9,text,true,,18278,553,10,10,623,0,67
1499156984155,597,/api/country/BE/correspondents/PH,200,OK,Thread Group 1-3,text,true,,3798,571,10,10,597,0,69
1499156980904,4090,/api/country/BE,200,OK,Thread Group 1-10,text,true,,29329,576,10,10,4057,0,69
