timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1499130013705,4252,/api/profile,200,OK,Thread Group 1-6,text,true,,877,573,10,10,4251,0,1223
1499130013615,4480,/api/profile,200,OK,Thread Group 1-4,text,true,,877,573,10,10,4480,0,1314
1499130013946,4150,/api/profile,200,OK,Thread Group 1-7,text,true,,877,573,10,10,4150,0,978
1499130013614,4613,/api/profile,200,OK,Thread Group 1-5,text,true,,877,573,10,10,4613,0,1317
1499130014018,4211,/api/profile,200,OK,Thread Group 1-9,text,true,,877,573,10,10,4210,0,900
1499130014020,4285,/api/profile,200,OK,Thread Group 1-10,text,true,,876,573,10,10,4284,0,903
1499130013614,4692,/api/profile,200,OK,Thread Group 1-2,text,true,,877,573,10,10,4692,0,1339
1499130013609,4722,/api/profile,200,OK,Thread Group 1-1,text,true,,877,573,10,10,4722,0,1335
1499130013979,4447,/api/profile,200,OK,Thread Group 1-8,text,true,,877,573,10,10,4446,0,951
1499130013611,4834,/api/profile,200,OK,Thread Group 1-3,text,true,,877,573,10,10,4833,0,1342
1499130017959,2544,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-6,,true,,351,601,10,10,0,0,68
1499130018096,2413,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-7,,true,,351,601,10,10,0,0,69
1499130018445,2064,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-3,,true,,351,601,10,10,0,0,68
1499130018228,2282,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-5,,true,,351,601,10,10,0,0,68
1499130018096,2415,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-4,,true,,351,601,10,10,0,0,72
1499130018332,2181,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-1,,true,,351,601,10,10,0,0,68
1499130018426,2088,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-8,,true,,351,601,10,10,0,0,68
1499130018307,2222,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-2,,true,,351,601,10,10,0,0,69
1499130018229,2302,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-9,,true,,351,601,10,10,0,0,67
1499130018305,2227,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-10,,true,,351,601,10,10,0,0,71
1499130020512,30434,/api/account,400,Bad Request,Thread Group 1-4,text,true,,994,1171,10,10,30433,0,71
1499130020533,30875,/api/account,400,Bad Request,Thread Group 1-10,text,true,,994,1170,10,10,30874,0,75
1499130020510,30899,/api/account,400,Bad Request,Thread Group 1-5,text,true,,994,1171,10,10,30899,0,73
1499130020509,31005,/api/account,400,Bad Request,Thread Group 1-7,text,true,,994,1171,10,10,31004,0,71
1499130020530,31592,/api/account,400,Bad Request,Thread Group 1-2,text,true,,994,1171,10,10,31591,0,86
1499130020504,31820,/api/account,400,Bad Request,Thread Group 1-6,text,true,,994,1171,10,10,31820,0,72
1499130050949,1544,/api/transactions,204,No Content,Thread Group 1-4,,true,,351,578,10,10,0,0,68
1499130051411,1086,/api/transactions,204,No Content,Thread Group 1-5,,true,,351,578,10,10,0,0,68
1499130051409,1135,/api/transactions,204,No Content,Thread Group 1-10,,true,,351,578,10,10,0,0,69
1499130051515,1385,/api/transactions,204,No Content,Thread Group 1-7,,true,,351,578,10,10,0,0,68
1499130020513,33786,/api/account,400,Bad Request,Thread Group 1-1,text,true,,994,1171,10,10,33786,0,77
1499130054301,588,/api/transactions,204,No Content,Thread Group 1-1,,true,,351,578,10,10,0,0,69
1499130020514,34419,/api/account,400,Bad Request,Thread Group 1-8,text,true,,994,1171,10,10,34419,0,76
1499130020532,34481,/api/account,400,Bad Request,Thread Group 1-9,text,true,,994,1171,10,10,34481,0,83
1499130052123,3378,/api/transactions,204,No Content,Thread Group 1-2,,true,,351,578,10,10,0,0,68
1499130052325,3179,/api/transactions,204,No Content,Thread Group 1-6,,true,,351,578,10,10,0,0,69
1499130052498,3014,/api/recipients,204,No Content,Thread Group 1-5,,true,,355,576,10,10,0,0,68
1499130052493,3019,/api/recipients,204,No Content,Thread Group 1-4,,true,,355,576,10,10,0,0,67
1499130052545,2968,/api/recipients,204,No Content,Thread Group 1-10,,true,,355,576,10,10,0,0,68
1499130052900,2963,/api/recipients,204,No Content,Thread Group 1-7,,true,,355,576,10,10,0,0,83
1499130020510,36392,/api/account,400,Bad Request,Thread Group 1-3,text,true,,994,1171,10,10,36392,0,71
1499130054889,3148,/api/recipients,204,No Content,Thread Group 1-1,,true,,355,576,10,10,0,0,68
1499130054934,3106,/api/transactions,204,No Content,Thread Group 1-8,,true,,351,578,10,10,0,0,67
1499130055015,3027,/api/transactions,204,No Content,Thread Group 1-9,,true,,351,578,10,10,0,0,72
1499130055501,2545,/api/recipients,204,No Content,Thread Group 1-2,,true,,355,576,10,10,0,0,71
1499130055505,2551,/api/recipients,204,No Content,Thread Group 1-6,,true,,355,576,10,10,0,0,67
1499130056904,1222,/api/transactions,204,No Content,Thread Group 1-3,,true,,351,578,10,10,0,0,69
1499130058042,4540,/api/recipients,204,No Content,Thread Group 1-9,,true,,355,576,10,10,0,0,69
1499130058040,4542,/api/recipients,204,No Content,Thread Group 1-8,,true,,355,576,10,10,0,0,69
1499130058127,4457,/api/recipients,204,No Content,Thread Group 1-3,,true,,355,576,10,10,0,0,68
1499130055863,7158,/api/country/BE,200,OK,Thread Group 1-7,text,true,,29311,576,10,10,7157,0,69
1499130055513,7550,/api/country/BE,200,OK,Thread Group 1-10,text,true,,29311,576,10,10,7549,0,71
1499130063021,658,/api/recipients,200,OK,Thread Group 1-7,text,true,,18249,553,10,10,657,0,77
1499130063063,855,/api/recipients,200,OK,Thread Group 1-10,text,true,,18249,553,10,10,855,0,69
1499130063679,535,/api/country/BE/correspondents/PH,200,OK,Thread Group 1-7,text,true,,3788,571,10,10,535,0,68
1499130063919,402,/api/country/BE/correspondents/PH,200,OK,Thread Group 1-10,text,true,,3790,571,10,10,402,0,67
