timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1499242971261,7493,/api/countries,200,OK,Thread Group 1-12,text,true,,8009,211,20,20,7493,0,1482
1499242970942,7812,/api/countries,200,OK,Thread Group 1-7,text,true,,8009,211,20,20,7812,0,1815
1499242971578,7196,/api/countries,200,OK,Thread Group 1-16,text,true,,8009,211,20,20,7196,0,1169
1499242970918,8014,/api/countries,200,OK,Thread Group 1-6,text,true,,8009,211,20,20,8014,0,1824
1499242970475,8478,/api/countries,200,OK,Thread Group 1-2,text,true,,8009,211,20,20,8478,0,2271
1499242971637,7318,/api/countries,200,OK,Thread Group 1-17,text,true,,8009,211,20,20,7318,0,1111
1499242971725,7230,/api/countries,200,OK,Thread Group 1-19,text,true,,8009,211,20,20,7230,0,1017
1499242971548,7437,/api/countries,200,OK,Thread Group 1-15,text,true,,8009,211,20,20,7437,0,1201
1499242970994,7998,/api/countries,200,OK,Thread Group 1-8,text,true,,8009,211,20,20,7998,0,1749
1499242978756,574,/api/my-country,200,OK,Thread Group 1-7,text,true,,489,212,20,20,574,0,84
1499242978756,582,/api/my-country,200,OK,Thread Group 1-12,text,true,,489,212,20,20,582,0,85
1499242971084,8326,/api/countries,200,OK,Thread Group 1-10,text,true,,8009,211,20,20,8326,0,1668
1499242970482,8933,/api/countries,200,OK,Thread Group 1-3,text,true,,8009,211,20,20,8933,0,2668
1499242971795,7621,/api/countries,200,OK,Thread Group 1-20,text,true,,8009,211,20,20,7621,0,966
1499242978775,666,/api/my-country,200,OK,Thread Group 1-16,text,true,,489,212,20,20,666,0,80
1499242978932,530,/api/my-country,200,OK,Thread Group 1-6,text,true,,489,212,20,20,530,0,76
1499242978986,476,/api/my-country,200,OK,Thread Group 1-15,text,true,,489,212,20,20,476,0,76
1499242978955,511,/api/my-country,200,OK,Thread Group 1-17,text,true,,489,212,20,20,511,0,73
1499242978992,481,/api/my-country,200,OK,Thread Group 1-8,text,true,,489,212,20,20,481,0,91
1499242971036,8474,/api/countries,200,OK,Thread Group 1-9,text,true,,8009,211,20,20,8474,0,1713
