timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1499242970316,10351,/api/profile,200,OK,Thread Group 1-14,text,true,,877,573,20,20,10350,0,2101
1499242970370,10308,/api/profile,200,OK,Thread Group 1-20,text,true,,877,573,20,20,10308,0,2068
1499242970309,10448,/api/profile,403,Forbidden,Thread Group 1-13,text,false,,1011,573,20,20,10448,0,2084
1499242969223,11599,/api/profile,200,OK,Thread Group 1-1,text,true,,877,573,20,20,11599,0,3494
1499242969697,11127,/api/profile,200,OK,Thread Group 1-10,text,true,,876,573,20,20,11126,0,2696
1499242970357,10467,/api/profile,200,OK,Thread Group 1-16,text,true,,877,573,20,20,10467,0,2040
1499242969718,11109,/api/profile,200,OK,Thread Group 1-11,text,true,,876,573,20,20,11108,0,2716
1499242969234,14045,/api/profile,200,OK,Thread Group 1-2,text,true,,877,573,20,20,14045,0,3188
1499242983281,1125,/api/transactions/byrecipient/mostrecent,204,No Content,Thread Group 1-2,,true,,351,601,20,20,0,0,83
1499242984407,971,/api/account,400,Bad Request,Thread Group 1-2,text,true,,994,1171,20,20,971,0,68
1499242969249,16234,/api/profile,200,OK,Thread Group 1-3,text,true,,877,573,20,20,16233,0,3143
1499242969409,16221,/api/profile,200,OK,Thread Group 1-6,text,true,,877,573,20,20,16221,0,3029
1499242970368,15276,/api/profile,200,OK,Thread Group 1-19,text,true,,877,573,20,20,15276,0,2035
1499242969407,16548,/api/profile,200,OK,Thread Group 1-5,text,true,,877,573,20,20,16547,0,3029
1499242969543,16415,/api/profile,200,OK,Thread Group 1-7,text,true,,877,573,20,20,16415,0,2890
1499242969834,16127,/api/profile,200,OK,Thread Group 1-12,text,true,,877,573,20,20,16127,0,2585
1499242969320,16676,/api/profile,200,OK,Thread Group 1-4,text,true,,877,573,20,20,16676,0,3083
1499242970366,15630,/api/profile,200,OK,Thread Group 1-18,text,true,,877,573,20,20,15630,0,2051
1499242969595,16402,/api/profile,200,OK,Thread Group 1-9,text,true,,877,573,20,20,16402,0,2809
1499242970353,15971,/api/profile,200,OK,Thread Group 1-15,text,true,,877,573,20,20,15970,0,2098
1499242970360,16036,/api/profile,200,OK,Thread Group 1-17,text,true,,877,573,20,20,16035,0,2079
1499242969548,17471,/api/profile,200,OK,Thread Group 1-8,text,true,,877,573,20,20,17471,0,2883
