timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
12/10/2017 12:12,1225,Get Token,200,OK,Get Auth 1-1,text,true,,1193,286,1,1,1224,0,592
12/10/2017 12:12,246,PA-5-1 InvalidRequest,400,Bad Request,[PA-5] Quote 2-1,text,true,,738,1070,1,1,246,0,198
12/10/2017 12:12,39,PA-5-2 SameSend&ReceiveCountries,400,Bad Request,[PA-5] Quote 2-1,text,true,,594,1084,1,1,39,0,0
12/10/2017 12:12,39,PA-5-3 Missing Receive Currency,400,Bad Request,[PA-5] Quote 2-1,text,true,,496,1098,1,1,39,0,0
12/10/2017 12:12,39,PA-5-4 MissingPayoutMethod,400,Bad Request,[PA-5] Quote 2-1,text,true,,594,1098,1,1,39,0,0
12/10/2017 12:12,7851,PA-5-5 ValidRequest,200,OK,[PA-5] Quote 2-1,text,true,,685,1101,1,1,7850,0,0
12/10/2017 12:12,257,PA-5-6 MissingReceiveCountry,400,Bad Request,[PA-5] Quote 2-1,text,true,,598,1099,1,1,257,0,210
12/10/2017 12:12,869,PA-5-7 MissingSendAmount,200,OK,[PA-5] Quote 2-1,text,true,,685,1101,1,1,869,0,0
12/10/2017 12:12,40,PA-5-8 MissingSendCountry,400,Bad Request,[PA-5] Quote 2-1,text,true,,592,1099,1,1,40,0,0
12/10/2017 12:12,39,PA-5-9 MissingSendReceiveAmount,400,Bad Request,[PA-5] Quote 2-1,text,true,,512,1100,1,1,39,0,0
12/10/2017 12:12,798,PA-5-10 MultipleCurrenciesPLN,200,OK,[PA-5] Quote 2-1,text,true,,684,1101,1,1,798,0,0
12/10/2017 12:12,1925,PA-5-11 MultipleCurrenciesEUR,200,OK,[PA-5] Quote 2-1,text,true,,679,1101,1,1,1925,0,188
12/10/2017 12:12,718,PA-5-12 NotMatchingCurrencies,400,Bad Request,[PA-5] Quote 2-1,text,true,,580,1101,1,1,718,0,0
12/10/2017 12:12,851,PA-5-13 CalculateReceiveAmount1,200,OK,[PA-5] Quote 2-1,text,true,,685,1101,1,1,851,0,188
12/10/2017 12:12,1436,PA-5-14 CalculateReceiveAmount2,200,OK,[PA-5] Quote 2-1,text,true,,683,1101,1,1,1436,0,0
12/10/2017 12:12,1075,PA-5-15 CalculateReceiveAmount3,200,OK,[PA-5] Quote 2-1,text,true,,686,1101,1,1,1075,0,183
12/10/2017 12:12,578,PA-5-16 ValidateResponseBody,200,OK,[PA-5] Quote 2-1,text,true,,685,1101,1,1,578,0,0
12/10/2017 12:12,859,PA-5-18 CalculateSendAmount,200,OK,[PA-5] Quote 2-1,text,true,,685,1102,1,1,859,0,0
12/10/2017 12:12,1061,PA-5-19 CalculateSendAmount2,200,OK,[PA-5] Quote 2-1,text,true,,686,1103,1,1,1061,0,215
12/10/2017 12:12,1185,PA-5-20 CalculateSendAmoun3,200,OK,[PA-5] Quote 2-1,text,true,,684,1104,1,1,1185,0,0
12/10/2017 12:12,245,PA-5-21 SendReceiveAmountPresent,400,Bad Request,[PA-5] Quote 2-1,text,true,,630,1103,1,1,245,0,201
12/10/2017 12:12,412,PA-5-22 InvalidCurrency,400,Bad Request,[PA-5] Quote 2-1,text,true,,580,1101,1,1,412,0,0
12/10/2017 12:12,41,PA-5-23 InvalidPayoutMethod,400,Bad Request,[PA-5] Quote 2-1,text,true,,630,1102,1,1,41,0,0
12/10/2017 12:12,39,PA-5-24 InvalidReceiveAmount,400,Bad Request,[PA-5] Quote 2-1,text,true,,613,1109,1,1,39,0,0
12/10/2017 12:12,39,PA-5-25 InvalidReceiveCountry,400,Bad Request,[PA-5] Quote 2-1,text,true,,630,1102,1,1,39,0,0
12/10/2017 12:12,39,PA-5-26 InvalidSendCountry,400,Bad Request,[PA-5] Quote 2-1,text,true,,624,1102,1,1,39,0,0
12/10/2017 12:12,752,PA-5-27 PayoutMethodNotAllowed,400,Bad Request,[PA-5] Quote 2-1,text,true,,580,1101,1,1,752,0,0
12/10/2017 12:12,898,PA-5-28 ExceedingMaximumReceiveAmount,400,Bad Request,[PA-5] Quote 2-1,text,true,,564,1106,1,1,898,0,0
12/10/2017 12:12,1098,PA-5-29 ExceedingMaximumSendAmount,400,Bad Request,[PA-5] Quote 2-1,text,true,,580,1106,1,1,1098,0,195
12/10/2017 12:12,42,PA-5-30 InvalidSendAmount,400,Bad Request,[PA-5] Quote 2-1,text,true,,707,1109,1,1,41,0,0
12/10/2017 12:12,512,PA-8-1 [Recipient requirements endpoint] Validate response message [valid receiveCountryCode && payoutMethodCode],200,OK,[PA-8] Recipient requirements 3-1,text,true,,1091,1192,1,1,512,0,258
12/10/2017 12:13,246,PA-8-2 [Recipient requirements endpoint] Validate response message [valid receiveCountryCode && Invalid payoutMethodCode],400,Bad Request,[PA-8] Recipient requirements 3-1,text,true,,510,1192,1,1,246,0,206
12/10/2017 12:13,479,PA-8-3 [Recipient requirements endpoint] Validate response message [valid receiveCountryCode && Payout method BNK & payoutNetworkId],200,OK,[PA-8] Recipient requirements 3-1,text,true,,1091,1212,1,1,479,0,194
12/10/2017 12:13,233,PA-8-4 [Recipient requirements endpoint] Validate response message [valid receiveCountryCode && Payout method ATP & payoutNetworkId],400,Bad Request,[PA-8] Recipient requirements 3-1,text,true,,510,1212,1,1,232,0,191
12/10/2017 12:13,242,PA-8-5 [Recipient requirements endpoint] Validate response message [valid receiveCountryCode && unexisting payout methods) || No data for the valid Country and Payout method],400,Bad Request,[PA-8] Recipient requirements 3-1,text,true,,507,1206,1,1,242,0,192
